id,bedrooms,bathrooms,tenure,garden,street,size_sqft,price_pounds,nearest_station_name,nearest_station_miles,postcode_outer
132180206,5,4,freehold,0,"Ladbroke Grove, London",,10500000,Holland Park Station,0.2,
134996630,6,5,freehold,0,"Murray Road, Wimbledon Village, SW19",,8950000,Wimbledon Station,0.3,SW19
134169233,7,5,freehold,1,"Southside Common, Wimbledon Village, SW19",,11950000,Wimbledon Station,0.7,SW19
132180206,5,4,freehold,0,"Ladbroke Grove, London",,10500000,Holland Park Station,0.2,
134996630,6,5,freehold,0,"Murray Road, Wimbledon Village, SW19",,8950000,Wimbledon Station,0.3,SW19
134169233,7,5,freehold,1,"Southside Common, Wimbledon Village, SW19",,11950000,Wimbledon Station,0.7,SW19
124365635,6,6,freehold,1,"Chesterfield Hill, London, W1J",4460,10950000,Green Park Station,0.3,W1J
132654419,6,4,freehold,1,"Cottesmore Gardens, London, W8",,18500000,High Street Kensington Station,0.3,W8
125741042,3,3,leasehold,0,"The Regents Crescent, Park Crescent West, Marylebone, London, W1B",,8950000,Regent's Park Station,0,W1B
125069459,6,6,freehold,1,"Wilton Street, Belgravia, SW1X",4563,11750000,Hyde Park Corner Station,0.3,SW1X
136488719,6,5,freehold,1,"Highwood Lodge Farm Estate, Highwood Hill, London, NW7",,20000000,Mill Hill Broadway Station,1.1,NW7
134329280,6,7,leasehold,0,"Belgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X",,43700000,Hyde Park Corner Station,0.1,SW1X
132180206,5,4,freehold,0,"Ladbroke Grove, London",,10500000,Holland Park Station,0.2,
134996630,6,5,freehold,0,"Murray Road, Wimbledon Village, SW19",,8950000,Wimbledon Station,0.3,SW19
134169233,7,5,freehold,1,"Southside Common, Wimbledon Village, SW19",,11950000,Wimbledon Station,0.7,SW19
124365635,6,6,freehold,1,"Chesterfield Hill, London, W1J",4460,10950000,Green Park Station,0.3,W1J
132654419,6,4,freehold,1,"Cottesmore Gardens, London, W8",,18500000,High Street Kensington Station,0.3,W8
125741042,3,3,leasehold,0,"The Regents Crescent, Park Crescent West, Marylebone, London, W1B",,8950000,Regent's Park Station,0,W1B
125069459,6,6,freehold,1,"Wilton Street, Belgravia, SW1X",4563,11750000,Hyde Park Corner Station,0.3,SW1X
136488719,6,5,freehold,1,"Highwood Lodge Farm Estate, Highwood Hill, London, NW7",,20000000,Mill Hill Broadway Station,1.1,NW7
134329280,6,7,leasehold,0,"Belgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X",,43700000,Hyde Park Corner Station,0.1,SW1X
133352759,5,4,leasehold,0,"Chelsea Creek Tower, Chelsea Creek, SW6",3599,6500000,Imperial Wharf Station,0.1,SW6
134251604,3,3,leasehold,2,"Onslow Gardens, South Kensington, London, SW7",,6950000,South Kensington Station,0.3,SW7
135167453,,,leasehold,3,"Hampstead, NW3",,20000000,Hampstead Station,0.3,NW3
134173892,3,3,leasehold,0,"Lowndes Square, Knightsbridge, London, SW1X",,6400000,Knightsbridge Station,0.1,SW1X
134474939,4,4,freehold,0,"Pear Tree Street, London, EC1V",4161,6950000,Barbican Station,0.4,EC1V
129771491,4,3,leasehold,0,"1 Palace Gate, London",2880,6950000,High Street Kensington Station,0.4,
128135639,5,4,leasehold,0,"Duke Street, 
Mayfair, W1K",3466,8450000,Bond Street Station,0.1,W1K
129333710,6,8,freehold,1,"Claremont Park, Esher, Surrey, KT10",,7950000,Claygate Station,0.9,KT10
134618414,3,3,share of freehold,1,"King Street, St James's, London, SW1Y.",,8750000,Piccadilly Circus Station,0.2,W1Y.
135746777,9,6,freehold,2,"Frognal, Hampstead Village",,22000000,Hampstead Station,0.2,
125632259,4,4,leasehold,2,"Lillie Square, Seagrave Road, London, SW6 1GA.",,7250000,West Brompton Station,0.1,1GA.
128781077,6,4,freehold,1,"Cheyne Row, Chelsea, London, SW3",,6450000,South Kensington Station,0.7,SW3
132527951,4,4,leasehold,0,"St. Mary Abbots Place, London, W8",2763,9500000,Kensington Olympia Station,0.3,W8
132527951,4,4,leasehold,0,"St. Mary Abbots Place, London, W8",2763,9500000,Kensington Olympia Station,0.3,W8
132390830,3,3,leasehold,2,"Apartment 20, Regent's Crescent, 27 Park Crescent, London, W1B",2146,9450000,Regent's Park Station,0,W1B
110037263,5,5,leasehold,0,"Cambridge Gate, Regents Park, London, NW1",,25500000,Great Portland Street Station,0.2,NW1
85301866,6,6,leasehold,0,"Eaton Place, Belgravia, London, SW1X",,19950000,Hyde Park Corner Station,0.3,SW1X
128882795,3,3,leasehold,0,"2 Principal Place, Worship Street, London",,9500000,Shoreditch High Street Station,0.2,
136807226,3,2,freehold,1,"Wellington Avenue, Chingford",,650000,Chingford Station,1.2,
114372095,4,3,leasehold,3,"Residence 23, Lancer Square, Kensington Church Street, London, W8",3117,15020000,High Street Kensington Station,0.2,W8
136450523,3,3,leasehold,1,"Grosvenor Square, Mayfair, London, W1K",,22900000,Bond Street Station,0.2,W1K
136450523,3,3,leasehold,1,"Grosvenor Square, Mayfair, London, W1K",,22900000,Bond Street Station,0.2,W1K
136450523,3,3,leasehold,1,"Grosvenor Square, Mayfair, London, W1K",,22900000,Bond Street Station,0.2,W1K
133128575,3,3,leasehold,0,"The Mellier, Albemarle Street, Mayfair, W1S",3500,14000000,Green Park Station,0.4,W1S
122351189,3,,leasehold,0,"Moxon Street, W1U",1831,9117000,Bond Street Station,0.3,W1U
134479895,6,7,freehold,1,"Theobald Street, Radlett, Hertfordshire, WD7",,9950000,Radlett Station,0.9,WD7
136631420,3,3,leasehold,2,"15 Indescon Square, Canary Wharf, London, E14",,795000,South Quay Station,0.2,E14
124514705,3,4,ask agent,1,"Boiler House, Battersea Power Station",,9200000,Battersea Power Underground Station,0.2,
86130159,4,4,freehold,0,"Moore Street, SW3",,7650000,Sloane Square Station,0.3,SW3
135126512,6,4,freehold,0,"Regent's Park Road, Primrose Hill, London, NW1",,7500000,Camden Town Station,0.4,NW1
132217055,5,2,freehold,0,"Willow Bridge Road, London, N1",,6750000,Essex Road Station,0.2,N1
132749876,7,6,freehold,1,"Lingfield Road, Wimbledon, London, SW19",5683,8750000,Wimbledon Station,0.6,SW19
116783558,2,2,leasehold,0,"Lancelot Place, Knightsbridge, London, SW7",,6950000,Knightsbridge Station,0.1,SW7
127931210,4,5,share of freehold,0,"Connaught Place, Connaught Village, London, W2",3650,15000000,Marble Arch Station,0.1,W2
113431481,5,5,leasehold,2,"Cambridge Gate, Regent's Park, London, NW1",4388,8500000,Great Portland Street Station,0.2,NW1
122351207,3,2,leasehold,0,"Moxon Street, W1U",2042,7695000,Bond Street Station,0.3,W1U
131511062,4,5,leasehold,0,"One St. John's Wood, St. John's Wood, London, NW8",2661,7250000,Edgware Road (Bakerloo) Station,0.9,NW8
136419338,24,,freehold,0,"119 & 121 Warwick Road, Earl's Court, London, Kensington and Chelsea, SW5 9EF",,8500000,Earls Court Station,0.3,9EF
124395656,4,4,freehold,0,"Wilton Street, London, SW1X",2942,8950000,Hyde Park Corner Station,0.3,SW1X
134386673,5,5,freehold,0,"Clifton Hill, St John's Wood, London, NW8",,6500000,South Hampstead Station,0.3,NW8
135106937,3,4,leasehold,0,"The Hanover, The Westin Residences, London, EC4V",2893,6250000,Mansion House Station,0.1,EC4V
134400281,7,5,freehold,0,"Addison Road, London, W14",6557,15000000,Kensington Olympia Station,0.2,W14
132753140,5,4,freehold,0,"Wilton Street, Belgravia, London, SW1X",4399,9650000,Victoria Station,0.3,SW1X
135790055,4,4,share of freehold,2,"Rose Square, The Bromptons, London, SW3",,6950000,South Kensington Station,0.2,SW3
133808642,12,12,freehold,0,"Denham Place, Denham, Buckinghamshire, UB9 5BL",,75000000,Denham Station,0.4,5BL
135396506,8,4,freehold,2,"Gloucester Square, London, W2.",,7500000,Lancaster Gate Station,0.3,W2.
128769485,2,2,leasehold,1,"Marylebone Square, London, W1U",,5380000,Baker Street Station,0.3,W1U
68254527,6,7,leasehold,1,"Benham House, Coleridge Gardens, 552 Kings Road, Kings Chelsea, SW10",,7350000,Fulham Broadway Station,0.3,SW10
127734923,3,3,freehold,0,"Eaton Mews North, London, SW1X",3200,9750000,Sloane Square Station,0.3,SW1X
136665059,6,5,freehold,1,"Hyde Park Gate, Kensington, London",,15950000,Gloucester Road Station,0.4,
131506475,7,6,freehold,0,"Parkside, Wimbledon, SW19",,7950000,Southfields Station,0.9,SW19
136766990,6,2,freehold,1,"Queen Anne's Gate, London, SW1H",7348,12500000,St. James's Park Station,0.1,SW1H
130612463,4,4,leasehold,0,"Park Street, Mayfair",,9000000,Marble Arch Station,0.2,
81530655,5,3,leasehold,1,"Damac Tower, Vauxhall, SW8",2,12310000,Vauxhall Station,0.1,SW8
129012407,5,4,freehold,2,"Hanover Terrace, Regents Park, London NW1",,22500000,Marylebone Station,0.4,NW1
135357629,5,4,freehold,1,"Wetherby Place, South Kensington SW7",,6350000,Gloucester Road Station,0.1,SW7
135945455,7,6,freehold,1,"Thornfield, Vine Road, London, SW13",,6375000,Barnes Station,0.3,SW13
127673525,5,5,freehold,2,"Pelham Street, London, SW7.",,7500000,South Kensington Station,0,SW7.
124186883,4,3,freehold,0,"Clifton Villas, Little Venice, London, W9",2860,8750000,Warwick Avenue Station,0.1,W9
118972286,6,5,freehold,1,"East Road, St George's Hill, Weybridge, Surrey, KT13",,12950000,Weybridge Station,0.7,KT13
136823078,3,5,share of freehold,0,"South Audley Street, London, W1K",2865,14750000,Hyde Park Corner Station,0.3,W1K
132113480,6,4,freehold,1,"Holland Villas Road, Holland Park, London, W14",,25000000,Kensington Olympia Station,0.2,W14
123757412,5,4,leasehold,1,"For Sale Five Bedroom Duplex Penthouse, Damac Tower, Nine Elms, London SW8 ",,12310000,Vauxhall Station,0.2,SW8
119387291,8,8,freehold,0,"Totteridge Green, Totteridge, London, N20",,19995000,Totteridge & Whetstone Station,0.7,N20
135803519,3,1,freehold,1,"Pine Cottage, Yew Tree Bottom Road, Epsom",,1000000,Epsom Downs Station,0.5,
90624263,4,4,leasehold,0,"North Row, London, W1K",2828,6950000,Marble Arch Station,0.1,W1K
122686493,5,5,leasehold,2,"Inverforth House, London, NW3",8262,13950000,Hampstead Station,0.6,NW3
123926423,8,8,freehold,2,"Upper Brook Street, London, W1K",4959,11950000,Bond Street Station,0.2,W1K
127510295,9,9,,0,"Winnington Road, N2",20246,11950000,Golders Green Station,0.9,N2
132452222,10,10,freehold,1,"Ennismore Gardens, Knightsbridge, London, SW7",,23950000,Knightsbridge Station,0.4,SW7
131506319,3,3,leasehold,0,"Arlington Street, St James",3946,15000000,Green Park Station,0.2,
133603946,6,5,leasehold,2,"Hanover Terrace, Regent's Park, London, NW1",7459,21500000,Marylebone Station,0.4,NW1
123648968,5,5,ask agent,1,"Ref: PP - Damac Tower, Parry St, Nine Elms, SW8 1SF",,12000000,Vauxhall Station,0.2,1SF
86184270,7,8,freehold,0,"Totteridge Common, London, N20",,8000000,Mill Hill Broadway Station,1.5,N20
134541398,5,4,freehold,2,"Harley Gardens, London, SW10",,14950000,Gloucester Road Station,0.4,SW10
125430209,5,4,leasehold,0,"Cumberland Terrace, Regent's Park, London, NW1",,11250000,Mornington Crescent Station,0.3,NW1
131846453,7,5,freehold,1,"Pitt Street, London, W8",11010,44000000,High Street Kensington Station,0.2,W8
83622660,5,4,leasehold,1,Damac Tower - Nine Elms,,11863000,Vauxhall Station,0.2,
134134619,3,3,ask agent,0,"The Buckingham, St James's, SW1E",3158,9500000,Victoria Station,0.3,SW1E
128022866,7,9,freehold,1,"Herbert Crescent, London, SW1X",7535,24950000,Knightsbridge Station,0.2,SW1X
126758615,3,4,ask agent,1,"Boiler House, Battersea Power Station, London SW8",,9000000,Battersea Power Underground Station,0.2,SW8
136270721,7,4,freehold,4,"Highbury Place, Highbury, London, N5",6104,8000000,Highbury & Islington Station,0.2,N5
135565115,3,2,freehold,1,"Devereux Road, Grays, Essex, RM16",,360000,Grays Station,1,RM16
135927161,3,3,leasehold,1,"Canary Wharf,
London, 
E14 9QG",1887,3350000,South Quay Station,0.2,9QG
134758322,3,3,leasehold,0,"Court Lodge, Sloane Square, Belgravia, London, SW1W",1898,6250000,Sloane Square Station,0,SW1W
134487440,4,4,leasehold,2,Thames City Carnation Way,2842,6650000,Nine Elms Station,0.2,
122334164,3,3,leasehold,0,"Moxon Street, London, W1U",1936,8047000,Baker Street Station,0.3,W1U
134322077,3,3,leasehold,0,"Grosvenor Square, Mayfair, London, W1K",,11000000,Bond Street Station,0.3,W1K
133736828,3,3,share of freehold,0,"Basil Mansions, Basil Street, London, SW3",,9500000,Knightsbridge Station,0.1,SW3
130686101,2,2,leasehold,1,"De Vere Gardens, Kensington Road, London, Greater London, W8 5AU",,9500000,High Street Kensington Station,0.3,5AU
86025582,6,4,freehold,1,"Winnington Close, N2",4171,6950000,East Finchley Station,0.7,N2
134756090,2,2,leasehold,0,"Buckingham Palace Road, London, SW1W",,8750000,Victoria Station,0.2,SW1W
86048049,4,4,freehold,0,"Headfort Place, Belgravia, London, SW1X",3994,6950000,Hyde Park Corner Station,0.2,SW1X
128360126,6,5,leasehold,1,"Chester Terrace, Regent's Park, NW1",,9950000,Great Portland Street Station,0.5,NW1
121058054,4,5,leasehold,0,"Blenheim House, One Tower Bridge, London",0,6900000,London Bridge Station,0.1,
85704597,6,5,freehold,3,"Greville Road, St John's Wood, London, NW6",4740,7250000,Kilburn High Road Station,0.2,NW6
125216420,10,10,freehold,0,"Ennismore Gardens, London, SW7",10606,23950000,Knightsbridge Station,0.4,SW7
130333274,6,8,freehold,1,"Herbert Crescent, Knightsbridge, SW1X",4638,19950000,Knightsbridge Station,0.2,SW1X
132333959,6,5,freehold,1,"Roedean Crescent, Putney, London, SW15",7004,7250000,Mortlake Station,0.9,SW15
86228406,6,3,freehold,1,"Hollycroft Avenue, Hampstead, NW3",,6750000,Hampstead Station,0.6,NW3
136111262,7,6,freehold,1,Northwood,,6750000,Northwood Station,0.6,
122168183,7,6,leasehold,0,"Hanover Terrace, Regent's Park, London, NW1",,22500000,Marylebone Station,0.4,NW1
124411883,4,4,leasehold,0,"St. Mary Abbots Place, London, W8",,9950000,Kensington Olympia Station,0.3,W8
134368826,6,6,freehold,1,"Pembroke Road, Kensington, London",,9500000,Earls Court Station,0.3,
124227578,2,2,share of freehold,0,"One Kensington Gardens, 11 Victoria Road, Kensington, London, W8",,6750000,High Street Kensington Station,0.3,W8
125940578,6,6,freehold,0,"Cheniston Gardens, London, W8",,7500000,High Street Kensington Station,0.1,W8
134390057,3,4,ask agent,0,"The Bryanston, Hyde Park",,19000000,Marble Arch Station,0.1,
86001534,3,3,leasehold,0,"Euston Road, London, NW1",,9950000,St. Pancras Station,0,NW1
133194068,4,4,freehold,0,"Lyall Street, Belgravia SW1X",3131,10950000,Sloane Square Station,0.3,SW1X
123105857,7,7,freehold,1,"White Lodge Close, The Bishops Avenue, Hampstead Garden Suburb, London, N2",,8250000,East Finchley Station,0.7,N2
127186547,4,4,leasehold,1,"The Lancasters, Lancaster Gate, London, W2.",,7950000,Queensway Station,0.2,W2.
121268927,6,5,freehold,1,"South Street, Mayfair",,15500000,Bond Street Station,0.4,
134805794,5,6,freehold,0,"Claremont Drive, Esher, Surrey, KT10",13227,7950000,Claygate Station,1,KT10
133700708,6,6,freehold,1,"Carlile Place, 
Richmond, TW10",,6500000,Richmond Station,0.5,TW10
131117165,6,5,leasehold,1,"Wimpole Street, Marylebone",9408,11500000,Bond Street Station,0.3,
130477295,4,3,freehold,0,"Headfort Place, Belgravia, London, SW1X",,6950000,Hyde Park Corner Station,0.2,SW1X
86091549,5,5,leasehold,2,"Damac Tower, Nine Elms, SW8",3449,12669000,Vauxhall Station,0.2,SW8
132172286,5,5,leasehold,0,Park Street Chelsea Creek SW6,0,16000000,Imperial Wharf Station,0.1,SW6
134803838,3,3,leasehold,0,"St Edmunds Terrace, London, NW8",,6900000,Chalk Farm Station,0.6,NW8
132995375,3,3,leasehold,3,"Residence 27, Lancer Square, Kensington Church Street, London, W8",2976,18230000,High Street Kensington Station,0.2,W8
129244925,3,4,ask agent,1,"Chesham Street, SW1X",,8750000,Sloane Square Station,0.2,SW1X
74844066,5,5,leasehold,1,"Cambridge Gate, Regent's Park, London, NW1",5746,25500000,Great Portland Street Station,0.2,NW1
124193657,3,5,ask agent,0,"Beaufort Gardens, Knightsbridge, SW3",3306,13500000,Knightsbridge Station,0.3,SW3
128360135,6,7,leasehold,0,"Albion Riverside, Chelsea, SW11",,9000000,Imperial Wharf Station,0.7,SW11
133396913,1,1,freehold,2,"Redhill Street, Regent's Park, London, NW1",516,11000000,Mornington Crescent Station,0.4,NW1
132011600,7,7,freehold,1,"The Bishops Avenue, Hampstead Garden Suburb, London, N2",,19950000,East Finchley Station,0.5,N2
130468328,5,4,leasehold,0,"Park Street, Chelsea Creek Tower",3,6500000,Imperial Wharf Station,0.1,
135000392,3,3,leasehold,1,"Sky Villa, Boiler House, Battersea Power Station, Nine Elms, SW8 5BN",,8500000,Nine Elms Station,0.7,5BN
136604348,6,4,freehold,1,"Atherton Drive, Wimbledon, SW19",,6500000,Wimbledon Park Station,0.8,SW19
129584516,3,3,leasehold,1,"Great Portland Street, London, W1W",,6500000,Great Portland Street Station,0.1,W1W
135496103,6,7,freehold,0,"Linksway, Northwood, HA6",,12000000,Northwood Station,0.6,HA6
129659648,5,5,freehold,2,"Canons Close, N2",5210,7000000,East Finchley Station,0.8,N2
120174536,3,3,leasehold,0,"South Bank Tower, Southbank, London",,7300000,Southwark Station,0.3,
135873626,7,7,freehold,1,"Thornfield, Vine Road, Barnes, London, SW13",,6375000,Barnes Station,0.3,SW13
123767987,3,4,share of freehold,0,"Beaufort Gardens, SW3",,14500000,Knightsbridge Station,0.3,SW3
132253457,2,2,share of freehold,0,"Holland Park, London, W11",2512,6500000,Holland Park Station,0.2,W11
130554113,3,4,ask agent,0,"Principal Tower, Shoreditch, London",2855,9500000,Shoreditch High Street Station,0.2,
136329155,3,4,ask agent,1,"Battersea Power Station, Nine Elms, London SW8",,7250000,Battersea Power Underground Station,0.2,SW8
136394144,3,3,leasehold,1,"Harrington Road, South Kensington, SW7",3065,7250000,South Kensington Station,0.1,SW7
134686349,6,7,leasehold,2,"Park Square West, London, NW1",6423,17950000,Regent's Park Station,0.1,NW1
131929205,7,7,freehold,1,"Brick Street, Mayfair W1J",12960,35000000,Hyde Park Corner Station,0.2,W1J
85949439,11,6,freehold,1,"Parkside, Wimbledon, London, SW19",,7495000,Wimbledon Station,1.1,SW19
128742146,7,6,leasehold,2,"Hanover Terrace, Regent's Park, NW1",6103,22500000,Marylebone Station,0.4,NW1
110802398,3,3,leasehold,0,"Moxon Street, London, W1U",,8201000,Baker Street Station,0.4,W1U
131476754,8,8,freehold,0,"The Bishops Avenue, East Finchley N2",10623,13500000,East Finchley Station,0.1,yN2
131215919,7,7,freehold,0,"Lygon Place, 
Belgravia, SW1W",,19000000,Victoria Station,0.2,SW1W
86223624,,,ask agent,0,"Keel House, 1 Cowley Business Park, Highstreet, Uxbridge, UB8",,10000000,Uxbridge Station,0.9,UB8
135023246,4,3,leasehold,0,"Sky Villa, Boiler House, Battersea Power Station, Nine Elms, SW8 5BN",,6950000,Nine Elms Station,0.7,5BN
132756632,3,4,leasehold,0,"Sugar Quay, London EC3R",,13500000,Fenchurch Street Station,0.2,EC3R
136642493,10,10,freehold,0,"Lowndes Street, London, SW1X",7656,16500000,Knightsbridge Station,0.3,SW1X
120687515,6,6,leasehold,0,"Trevor Square, Knightsbridge SW7",6404,18000000,Knightsbridge Station,0.2,SW7
133641845,7,4,leasehold,2,"Connaught Square, 
Hyde Park, W2",4319,8000000,Marble Arch Station,0.2,W2
128132231,5,5,freehold,0,"Lyall Mews, Belgravia, London, SW1X",,9000000,Sloane Square Station,0.3,SW1X
129555296,5,5,leasehold,1,"Queenstown Road, London, SW11",,8550000,Battersea Park Station,0.1,SW11
134371613,3,3,leasehold,0,"Lowndes Square, London, SW1X",2092,6995000,Knightsbridge Station,0.1,SW1X
134371613,3,3,leasehold,0,"Lowndes Square, London, SW1X",2092,6995000,Knightsbridge Station,0.1,SW1X
132144443,6,7,freehold,0,"Wadham Gardens, Primrose Hill, London, NW3",0,18950000,Swiss Cottage Station,0.3,NW3
132595856,6,7,freehold,1,"Winnington Road, London",10086,17999999,East Finchley Station,0.4,
86168595,4,5,leasehold,0,"Devonshire Place Mews, Marylebone, W1G",2706,6500000,Regent's Park Station,0.2,W1G
133762274,,1,leasehold,0,"Eustace Building, 372 Queenstown Road, London, SW11",,415000,Battersea Park Station,0.3,SW11
126385241,,,leasehold,0,"Fulham Road, Chelsea, London, SW10",0,6350000,West Brompton Station,0.6,SW10
134867033,3,3,leasehold,1,"10 Broadway,
London,
SW1H 0BP",1841,5685000,St. James's Park Station,0.1,0BP
128490644,5,4,leasehold,0,"Montrose Place, London, SW1X",0,14950000,Hyde Park Corner Station,0.2,SW1X
135162191,9,5,freehold,1,"Woodchurch Road, 
West Hampstead, NW6",,7000000,West Hampstead Station,0.3,NW6
136788230,4,4,share of freehold,0,"Hyde Park Gardens, London, W2.",,15000000,Lancaster Gate Station,0.3,W2.
135505862,7,5,freehold,2,"Barnsbury Park, Islington, London, N1",0,9500000,Caledonian Road & Barnsbury Station,0.2,N1
119545715,3,3,leasehold,0,"Moxon Street, Marylebone, W1U",,7618000,Baker Street Station,0.3,W1U
125871074,5,2,leasehold,0,"Duke Street, Mayfair",,8450000,Bond Street Station,0.1,
122351192,2,,leasehold,0,"Moxon Street, W1U",1440,6520000,Bond Street Station,0.3,W1U
124457660,4,4,leasehold,1,"Residence 21, Lancer Square, 5A Kensington Church St, W8",,16020000,High Street Kensington Station,0.2,W8
84082359,6,3,ask agent,1,"Guildens, Courtenay Avenue, N6",9858,19500000,East Finchley Station,0.8,N6
124422485,5,4,leasehold,1,71 Bondway,3538,12310000,Vauxhall Station,0.1,
136638629,,,,0,"Bellerive House, 3 Muirfield Crescent, London",,15000000,Crossharbour & London Arena Station,0.2,
128360123,4,4,freehold,1,"Adams Row, Mayfair, W1K",,11950000,Bond Street Station,0.3,W1K
135927335,3,3,leasehold,1,"Canary Wharf,
London, 
E14 9QG",1908,3500000,South Quay Station,0.2,9QG
122450216,5,3,leasehold,0,"Damac Tower, Bondway, London SW8",,11500000,Vauxhall Station,0.1,SW8
135839828,4,4,leasehold,1,"St James's Close, London, NW8",,9150000,St. John's Wood Station,0.6,NW8
136068464,7,5,freehold,1,"Riverside, Twickenham, TW1",6677,7000000,Twickenham Station,0.5,TW1
119024456,7,7,freehold,1,"South Ridge, St George's Hill, Weybridge, Surrey, KT13",,6950000,Weybridge Station,1.1,KT13
130184396,5,5,freehold,2,"Wilton Crescent, Belgravia",,17650000,Knightsbridge Station,0.2,
122351186,3,,leasehold,0,"Moxon Street, W1U",1676,8548000,Bond Street Station,0.3,W1U
133138586,2,2,share of freehold,0,"10 Finchley Road, London, NW3",936,895000,Finchley Road & Frognal Station,0.4,NW3
131943506,4,4,freehold,0,"Southbank Place, Belvedere Road, London, SE1",,7850000,Waterloo Station,0.2,SE1
136310108,3,4,freehold,2,"Harrington Rd, SW7",,7250000,South Kensington Station,0.1,SW7
134539001,5,7,freehold,1,"Pont Street Mews, London, SW1X",,17000000,Knightsbridge Station,0.3,SW1X
135790082,7,5,freehold,1,"Dawson Place, London, W2",6649,21500000,Notting Hill Gate Station,0.3,W2
136223183,5,6,freehold,0,"Belsize Place, London, NW3",,20000000,Belsize Park Station,0.3,NW3
136254242,5,5,freehold,1,"Clifton Hill, 
St. John's Wood, NW8",4267,7950000,Kilburn High Road Station,0.3,NW8
71560296,3,3,share of freehold,1,"Chesham Street, SW1X",2645,8950000,Sloane Square Station,0.2,SW1X
123757202,5,4,leasehold,1,"For Sale 5 Bed Duplex Penthouse, Damac Tower, Nine Elms, London SW8 ",,11756000,Vauxhall Station,0.2,SW8
136039634,5,5,leasehold,1,"Cadogan Square, London, SW1X",,19500000,Sloane Square Station,0.3,SW1X
136742144,3,1,leasehold,0,"Lewisham Road, Lewisham, SE13",,400000,Lewisham Station,0.2,SE13
131009342,8,8,freehold,2,"Old Church Street, London, SW3",5227,11000000,South Kensington Station,0.6,SW3
132097715,3,3,leasehold,0,"Marylebone High Street, London, W1U",3633,27000000,Baker Street Station,0.4,W1U
128633252,3,3,leasehold,1,"Trevor Square, SW7",,15950000,Knightsbridge Station,0.2,SW7
133507022,8,6,freehold,2,"Cheyne Place, London, SW3",,14950000,Sloane Square Station,0.6,SW3
90086233,3,3,leasehold,0,"The Tower, One St George Wharf, London",0,9950000,Vauxhall Station,0.2,
134632259,3,3,leasehold,0,"Upper Grosvenor Street, 
Mayfair, W1K",1803,6350000,Bond Street Station,0.3,W1K
120364379,5,5,freehold,1,"Montpelier Square, Knightsbridge SW7",4613,9750000,Knightsbridge Station,0.3,SW7
132941201,6,6,freehold,1,"Totteridge Common, London, N20",7036,8000000,High Barnet Station,1.4,N20
135618473,3,2,freehold,0,"Kensington Park Road, Notting Hill, London",,6500000,Ladbroke Grove Station,0.3,
135548921,6,6,freehold,0,"The Bishops Avenue, Hampstead, N2",4676,9000000,East Finchley Station,0.6,N2
126871934,4,3,leasehold,2,"DAMAC Tower, Nine Elms, London, SW8",,11251000,Vauxhall Station,0.1,SW8
128509451,3,3,leasehold,0,"Davies Street, Mayfair, London, W1K",,8500000,Bond Street Station,0.2,W1K
135257315,4,4,leasehold,0,"New Cavendish Street, Marylebone W1G",,8000000,Regent's Park Station,0.3,W1G
135799190,5,6,freehold,1,"Park Street, Mayfair",,25000000,Marble Arch Station,0.2,
131998652,3,3,leasehold,1,"Harrington Road, South Kensington",,7250000,South Kensington Station,0.1,
134488676,4,4,share of freehold,0,"Westbourne Grove Mews, London, W11",4871,9250000,Notting Hill Gate Station,0.4,W11
131302508,4,3,freehold,1,"Lancelot Place, Knightsbridge",2736,16000000,Knightsbridge Station,0.1,
